Reaction_No,Reactant_1_Name,Reactant_1_Short_Hand,Reactant_1_eq,Reactant_1_mmol,Reactant_2_Name,Reactant_2_eq,Catalyst_1_Short_Hand,Catalyst_1_eq,Ligand_Short_Hand,Ligand_eq,Reagent_1_Short_Hand,Reagent_1_eq,Solvent_1_Short_Hand,Product_Yield_PCT_Area_UV,Product_Yield_Mass_Ion_Count
673,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,NaOH,2.5,MeOH,85.04832658,99899.32994
674,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,NaOH,2.5,MeOH,92.80138602,375922.7863
675,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,AmPhos,0.125,NaOH,2.5,MeOH,77.33782357,88479.79775
676,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,NaOH,2.5,MeOH,91.24001767,346174.7819
677,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,NaOH,2.5,MeOH,86.99868625,105461.8587
678,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,CataCXium A,0.125,NaOH,2.5,MeOH,91.57679255,282291.1611
679,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,SPhos,0.125,NaOH,2.5,MeOH,92.88402743,102562.5193
680,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dtbpf,0.125,NaOH,2.5,MeOH,54.51914846,158684.527
681,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,XPhos,0.125,NaOH,2.5,MeOH,91.27332246,92705.22211
682,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dppf,0.125,NaOH,2.5,MeOH,55.15991213,197067.0516
683,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,Xantphos,0.125,NaOH,2.5,MeOH,0.80350676,6111.328158
684,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,None,,NaOH,2.5,MeOH,71.48605893,203345.597
685,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,NaHCO3,2.5,MeOH,77.8848125,84586.07257
686,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,NaHCO3,2.5,MeOH,92.60455115,330759.561
687,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,AmPhos,0.125,NaHCO3,2.5,MeOH,81.73439943,90033.93604
688,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,NaHCO3,2.5,MeOH,92.24322686,334918.1158
689,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,NaHCO3,2.5,MeOH,93.79044152,99920.2917
690,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,CataCXium A,0.125,NaHCO3,2.5,MeOH,86.97940159,205784.3132
691,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,SPhos,0.125,NaHCO3,2.5,MeOH,85.69026526,91272.64665
692,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dtbpf,0.125,NaHCO3,2.5,MeOH,31.27264205,90389.8413
693,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,XPhos,0.125,NaHCO3,2.5,MeOH,82.19297001,84751.21586
694,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dppf,0.125,NaHCO3,2.5,MeOH,27.37032235,109841.409
695,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,Xantphos,0.125,NaHCO3,2.5,MeOH,2.176156955,3135.71802
696,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,None,,NaHCO3,2.5,MeOH,51.1038546,169250.8741
697,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,CsF,2.5,MeOH,69.55887939,82034.69879
698,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,CsF,2.5,MeOH,75.45569334,276172.752
699,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,AmPhos,0.125,CsF,2.5,MeOH,75.58419456,85849.44213
700,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,CsF,2.5,MeOH,75.42504944,296536.8339
701,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,CsF,2.5,MeOH,87.40635956,87772.7258
702,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,CataCXium A,0.125,CsF,2.5,MeOH,80.49933741,225927.6024
703,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,SPhos,0.125,CsF,2.5,MeOH,56.64040053,58480.85432
704,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dtbpf,0.125,CsF,2.5,MeOH,37.65450996,81413.68849
705,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,XPhos,0.125,CsF,2.5,MeOH,45.64001756,46847.15741
706,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dppf,0.125,CsF,2.5,MeOH,16.3951276,67263.47559
707,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,Xantphos,0.125,CsF,2.5,MeOH,1.601337408,2168.189616
708,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,None,,CsF,2.5,MeOH,31.92654194,110209.143
709,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,K3PO4,2.5,MeOH,84.62076487,79891.94001
710,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,K3PO4,2.5,MeOH,94.66760634,324399.2977
711,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,AmPhos,0.125,K3PO4,2.5,MeOH,76.31014062,77952.24224
712,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,K3PO4,2.5,MeOH,88.84410562,278732.898
713,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,K3PO4,2.5,MeOH,90.31224273,89096.37055
714,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,CataCXium A,0.125,K3PO4,2.5,MeOH,89.41957058,173835.0519
715,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,SPhos,0.125,K3PO4,2.5,MeOH,92.54204441,89206.94879
716,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dtbpf,0.125,K3PO4,2.5,MeOH,46.39993689,104225.1449
717,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,XPhos,0.125,K3PO4,2.5,MeOH,90.68635403,87752.09383
718,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dppf,0.125,K3PO4,2.5,MeOH,21.60943878,63738.23329
719,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,Xantphos,0.125,K3PO4,2.5,MeOH,3.03077029,4300.54261
720,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,None,,K3PO4,2.5,MeOH,66.5335641,186750.8849
721,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,KOH,2.5,MeOH,81.32529404,81247.23326
722,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,KOH,2.5,MeOH,92.60849808,371850.3297
723,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,AmPhos,0.125,KOH,2.5,MeOH,71.61894347,75160.43783
724,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,KOH,2.5,MeOH,89.74351359,320709.7099
725,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,KOH,2.5,MeOH,88.24033173,93720.27677
726,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,CataCXium A,0.125,KOH,2.5,MeOH,85.45800159,170520.771
727,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,SPhos,0.125,KOH,2.5,MeOH,91.14390992,103289.2581
728,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dtbpf,0.125,KOH,2.5,MeOH,54.68392277,141998.1578
729,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,XPhos,0.125,KOH,2.5,MeOH,90.54729465,89518.61417
730,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dppf,0.125,KOH,2.5,MeOH,34.00323709,109640.3871
731,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,Xantphos,0.125,KOH,2.5,MeOH,1.022960189,5762.433489
732,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,None,,KOH,2.5,MeOH,68.89429474,194260.2431
733,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,LiOtBu,2.5,MeOH,82.44077823,75595.78441
734,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,LiOtBu,2.5,MeOH,92.89708603,305694.4016
735,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,AmPhos,0.125,LiOtBu,2.5,MeOH,69.60428829,68765.65509
736,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,LiOtBu,2.5,MeOH,89.33725017,314718.084
737,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,LiOtBu,2.5,MeOH,88.09193009,79697.59461
738,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,CataCXium A,0.125,LiOtBu,2.5,MeOH,85.58380322,152496.9164
739,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,SPhos,0.125,LiOtBu,2.5,MeOH,92.27239114,112858.186
740,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dtbpf,0.125,LiOtBu,2.5,MeOH,48.60429188,123015.8984
741,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,XPhos,0.125,LiOtBu,2.5,MeOH,90.61650004,101160.874
742,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dppf,0.125,LiOtBu,2.5,MeOH,21.40797973,61993.18131
743,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,Xantphos,0.125,LiOtBu,2.5,MeOH,1.221840908,8423.722019
744,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,None,,LiOtBu,2.5,MeOH,71.34333778,213456.6418
745,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,Et3N,2.5,MeOH,74.15443702,77628.01495
746,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,Et3N,2.5,MeOH,82.98838885,303373.0609
747,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,AmPhos,0.125,Et3N,2.5,MeOH,73.00594796,81200.62935
748,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,Et3N,2.5,MeOH,75.99272399,278971.5608
749,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,Et3N,2.5,MeOH,85.2766918,85494.062
750,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,CataCXium A,0.125,Et3N,2.5,MeOH,82.83847436,213420.472
751,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,SPhos,0.125,Et3N,2.5,MeOH,58.78733691,67142.46075
752,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dtbpf,0.125,Et3N,2.5,MeOH,37.12335395,102682.9537
753,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,XPhos,0.125,Et3N,2.5,MeOH,52.36639417,55145.97377
754,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dppf,0.125,Et3N,2.5,MeOH,21.11397049,88774.58094
755,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,Xantphos,0.125,Et3N,2.5,MeOH,0.502307775,1931.137385
756,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,None,,Et3N,2.5,MeOH,29.25747855,95610.73013
757,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,None,2.5,MeOH,53.80435826,55904.01481
758,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,None,2.5,MeOH,62.78037951,209696.0756
759,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,AmPhos,0.125,None,2.5,MeOH,61.57275854,67137.71986
760,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,None,2.5,MeOH,52.54395653,189257.0481
761,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,None,2.5,MeOH,63.78194008,67008.63406
762,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,CataCXium A,0.125,None,2.5,MeOH,62.36518427,160937.2253
763,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,SPhos,0.125,None,2.5,MeOH,36.2016323,42297.64534
764,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dtbpf,0.125,None,2.5,MeOH,26.26452913,58202.55335
765,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,XPhos,0.125,None,2.5,MeOH,26.6943882,31094.38936
766,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dppf,0.125,None,2.5,MeOH,15.94239814,61004.76405
767,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,Xantphos,0.125,None,2.5,MeOH,1.183433256,1882.560675
768,6-Bromoquinoline,"1b, 6-Br-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,None,,None,2.5,MeOH,20.8242814,74330.18595
769,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,NaOH,2.5,MeCN,56.38153767,76547.83525
770,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,NaOH,2.5,MeCN,96.60332443,391944.0794
771,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,AmPhos,0.125,NaOH,2.5,MeCN,83.78516286,86536.12818
772,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,NaOH,2.5,MeCN,87.5698655,329913.8134
773,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,NaOH,2.5,MeCN,69.99341542,81521.60704
774,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,CataCXium A,0.125,NaOH,2.5,MeCN,91.46517566,336771.4706
775,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,SPhos,0.125,NaOH,2.5,MeCN,91.46710136,97275.66416
776,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dtbpf,0.125,NaOH,2.5,MeCN,84.9527381,151941.8413
777,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,XPhos,0.125,NaOH,2.5,MeCN,92.69242658,99544.77774
778,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dppf,0.125,NaOH,2.5,MeCN,52.39626831,195898.7604
779,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,Xantphos,0.125,NaOH,2.5,MeCN,22.7751188,26346.11294
780,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,None,,NaOH,2.5,MeCN,63.91154092,167751.3706
781,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,NaHCO3,2.5,MeCN,66.85747342,70735.53268
782,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,NaHCO3,2.5,MeCN,98.529427,428913.4231
783,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,AmPhos,0.125,NaHCO3,2.5,MeCN,94.26408454,110866.767
784,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,NaHCO3,2.5,MeCN,93.04725921,357897.9691
785,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,NaHCO3,2.5,MeCN,78.43587292,83950.34797
786,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,CataCXium A,0.125,NaHCO3,2.5,MeCN,92.76838609,321654.3911
787,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,SPhos,0.125,NaHCO3,2.5,MeCN,78.30690532,95345.12199
788,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dtbpf,0.125,NaHCO3,2.5,MeCN,40.67742914,137653.8141
789,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,XPhos,0.125,NaHCO3,2.5,MeCN,78.07715998,80853.47695
790,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dppf,0.125,NaHCO3,2.5,MeCN,79.61082693,293687.4077
791,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,Xantphos,0.125,NaHCO3,2.5,MeCN,0.699134367,12437.83473
792,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,None,,NaHCO3,2.5,MeCN,53.10924233,150304.5734
793,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,CsF,2.5,MeCN,66.12731423,79182.62301
794,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,CsF,2.5,MeCN,96.48593247,455245.8271
795,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,AmPhos,0.125,CsF,2.5,MeCN,93.68904692,105192.7138
796,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,CsF,2.5,MeCN,76.45551389,331519.4602
797,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,CsF,2.5,MeCN,61.38701755,66088.91894
798,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,CataCXium A,0.125,CsF,2.5,MeCN,88.3121473,345174.647
799,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,SPhos,0.125,CsF,2.5,MeCN,45.4580856,74806.67823
800,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dtbpf,0.125,CsF,2.5,MeCN,34.93372893,123253.1776
801,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,XPhos,0.125,CsF,2.5,MeCN,66.45917897,69802.50082
802,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dppf,0.125,CsF,2.5,MeCN,72.26559233,261707.7256
803,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,Xantphos,0.125,CsF,2.5,MeCN,2.960901796,7711.930532
804,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,None,,CsF,2.5,MeCN,35.57232049,114003.1267
805,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,K3PO4,2.5,MeCN,70.25076772,74876.33026
806,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,K3PO4,2.5,MeCN,87.68068141,366215.2687
807,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,AmPhos,0.125,K3PO4,2.5,MeCN,87.91089041,95638.4391
808,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,K3PO4,2.5,MeCN,41.07734496,230248.0995
809,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,K3PO4,2.5,MeCN,44.25659202,50207.25792
810,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,CataCXium A,0.125,K3PO4,2.5,MeCN,82.40722079,297339.7037
811,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,SPhos,0.125,K3PO4,2.5,MeCN,44.11431645,57563.73075
812,6-triflatequinoline,"1c, 6-OTf-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dtbpf,0.125,K3PO4,2.5,MeCN,34.26477111,132163.6076
